observed_on,latitude,longitude,positional_accuracy,species_guess,scientific_name,taxon_id,taxon_genus_name,taxon_species_name
1/5/2014,32.26194807,-111.0309913,6,Queen,Danaus gilippus,51743,Danaus,Danaus gilippus
2/28/2014,32.20725461,-110.9875184,8,Great Purple Hairstreak,Atlides halesus,59128,Atlides,Atlides halesus
3/9/2014,32.24402193,-111.1681867,156,Queen,Danaus gilippus,51743,Danaus,Danaus gilippus
3/10/2014,32.244013,-111.168174,856,American Snout,Libytheana carinenta,58561,Libytheana,Libytheana carinenta
3/12/2014,32.244013,-111.168174,209,Two-tailed Swallowtail,Papilio multicaudata,68263,Papilio,Papilio multicaudata
3/12/2014,32.24373913,-111.168453,160,Pipevine Swallowtail,Battus philenor,49972,Battus,Battus philenor
3/28/2014,32.217753,-110.883876,41,Checkered White,Pontia protodice,59119,Pontia,Pontia protodice
4/7/2014,32.278889,-111.022049,153,Western Pygmy Blue,Brephidium exilis,53843,Brephidium,Brephidium exilis
4/7/2014,32.278889,-111.022049,153,Western Pygmy Blue,Brephidium exilis,53843,Brephidium,Brephidium exilis
4/21/2014,32.20292433,-111.0647392,122,Northern White-Skipper,Heliopetes ericetorum,59190,Heliopetes,Heliopetes ericetorum
4/26/2014,32.2249742,-110.9988187,26,Azul marina,Leptotes marina,59152,Leptotes,Leptotes marina
5/8/2014,32.230792,-110.918406,199,Western Giant Swallowtail,Papilio rumiko,509627,Papilio,Papilio rumiko
5/9/2014,32.232874,-110.900387,40,Checkered White,Pontia protodice,59119,Pontia,Pontia protodice
5/11/2014,32.232874,-110.900387,40,Marine Blue,Leptotes marina,59152,Leptotes,Leptotes marina
8/16/2014,32.24334014,-111.167511,19,Pipevine Swallowtail,Battus philenor,49972,Battus,Battus philenor
8/20/2014,32.12689,-110.936426,5,Queen Butterfly,Danaus gilippus,51743,Danaus,Danaus gilippus
8/24/2014,32.23286443,-110.900352,8,Ruddy Daggerwing,Marpesia petreus,50283,Marpesia,Marpesia petreus
8/29/2014,32.232874,-110.900387,40,Viceroy,Limenitis archippus,58586,Limenitis,Limenitis archippus
9/23/2014,32.20739759,-110.9872127,4,Queen,Danaus gilippus,51743,Danaus,Danaus gilippus
9/24/2014,32.24892225,-110.9086563,118,Queen,Danaus gilippus,51743,Danaus,Danaus gilippus
9/27/2014,32.30952754,-110.8116615,50,Western Pygmy-Blue,Brephidium exilis,53843,Brephidium,Brephidium exilis
9/27/2014,32.31132321,-110.8111084,50,Bordered Patch,Chlosyne lacinia,68240,Chlosyne,Chlosyne lacinia
10/3/2014,32.233366,-110.954573,50,parsnip swallowtail,Papilio polyxenes asterius,54900,Papilio,Papilio polyxenes
10/21/2014,32.253974,-111.197403,,Orange Skipperling,Copaeodes aurantiaca,129415,Copaeodes,Copaeodes aurantiaca
10/21/2014,32.253974,-111.197403,,Bordered Patch,Chlosyne lacinia,68240,Chlosyne,Chlosyne lacinia
10/21/2014,32.253974,-111.197403,,Reakirt's Blue,Echinargus isola,118914,Echinargus,Echinargus isola
10/21/2014,32.253974,-111.197403,,sleepy orange,Abaeis nicippe,81727,Abaeis,Abaeis nicippe
10/21/2014,32.253974,-111.197403,,Eufala Skipper,Lerodea eufala,59195,Lerodea,Lerodea eufala
10/21/2014,32.253974,-111.197403,,Southern Dogface,Zerene cesonia,129362,Zerene,Zerene cesonia
10/21/2014,32.253974,-111.197403,,Ceraunus Blue,Hemiargus ceraunus,69940,Hemiargus,Hemiargus ceraunus
10/21/2014,32.253974,-111.197403,,Great Purple Hairstreak,Atlides halesus,59128,Atlides,Atlides halesus
10/26/2014,32.22235,-110.962875,,Southern Dogface,Zerene cesonia,129362,Zerene,Zerene cesonia
11/6/2014,32.219242,-110.952906,124,Western Giant Swallowtail,Papilio rumiko,509627,Papilio,Papilio rumiko
11/11/2014,32.232874,-110.900387,40,Sleepy Orange,Abaeis nicippe,81727,Abaeis,Abaeis nicippe
11/11/2014,32.232874,-110.900387,40,Bordered Patch,Chlosyne lacinia,68240,Chlosyne,Chlosyne lacinia
11/21/2014,32.245321,-110.852986,4,Painted Lady,Vanessa cardui,48548,Vanessa,Vanessa cardui
11/21/2014,32.245311,-110.852952,2,Fiery Skipper,Hylephila phyleus,50340,Hylephila,Hylephila phyleus
11/21/2014,32.254921,-111.197544,1,Queen Butterfly,Danaus gilippus,51743,Danaus,Danaus gilippus
12/20/2014,32.24296924,-111.1674269,359,Marine Blue,Leptotes marina,59152,Leptotes,Leptotes marina
12/20/2014,32.24296924,-111.1674269,359,American Snout,Libytheana carinenta,58561,Libytheana,Libytheana carinenta
12/20/2014,32.24296924,-111.1674269,359,Western Pygmy-Blue,Brephidium exilis,53843,Brephidium,Brephidium exilis
