"","Latitude","Longitude","Species","Date Observed","Site"
"1",32.26194807,-111.0309913,"Danaus gilippus","1/5/2014","iNat"
"2",32.20725461,-110.9875184,"Atlides halesus","2/28/2014","iNat"
"3",32.24402193,-111.1681867,"Danaus gilippus","3/9/2014","iNat"
"4",32.244013,-111.168174,"Libytheana carinenta","3/10/2014","iNat"
"5",32.244013,-111.168174,"Papilio multicaudata","3/12/2014","iNat"
"6",32.24373913,-111.168453,"Battus philenor","3/12/2014","iNat"
"7",32.217753,-110.883876,"Pontia protodice","3/28/2014","iNat"
"8",32.278889,-111.022049,"Brephidium exilis","4/7/2014","iNat"
"9",32.278889,-111.022049,"Brephidium exilis","4/7/2014","iNat"
"10",32.20292433,-111.0647392,"Heliopetes ericetorum","4/21/2014","iNat"
"11",32.2249742,-110.9988187,"Leptotes marina","4/26/2014","iNat"
"12",32.230792,-110.918406,"Papilio rumiko","5/8/2014","iNat"
"13",32.232874,-110.900387,"Pontia protodice","5/9/2014","iNat"
"14",32.232874,-110.900387,"Leptotes marina","5/11/2014","iNat"
"15",32.24334014,-111.167511,"Battus philenor","8/16/2014","iNat"
"16",32.12689,-110.936426,"Danaus gilippus","8/20/2014","iNat"
"17",32.23286443,-110.900352,"Marpesia petreus","8/24/2014","iNat"
"18",32.232874,-110.900387,"Limenitis archippus","8/29/2014","iNat"
"19",32.20739759,-110.9872127,"Danaus gilippus","9/23/2014","iNat"
"20",32.24892225,-110.9086563,"Danaus gilippus","9/24/2014","iNat"
"21",32.30952754,-110.8116615,"Brephidium exilis","9/27/2014","iNat"
"22",32.31132321,-110.8111084,"Chlosyne lacinia","9/27/2014","iNat"
"23",32.233366,-110.954573,"Papilio polyxenes","10/3/2014","iNat"
"24",32.253974,-111.197403,"Copaeodes aurantiaca","10/21/2014","iNat"
"25",32.253974,-111.197403,"Chlosyne lacinia","10/21/2014","iNat"
"26",32.253974,-111.197403,"Echinargus isola","10/21/2014","iNat"
"27",32.253974,-111.197403,"Abaeis nicippe","10/21/2014","iNat"
"28",32.253974,-111.197403,"Lerodea eufala","10/21/2014","iNat"
"29",32.253974,-111.197403,"Zerene cesonia","10/21/2014","iNat"
"30",32.253974,-111.197403,"Hemiargus ceraunus","10/21/2014","iNat"
"31",32.253974,-111.197403,"Atlides halesus","10/21/2014","iNat"
"32",32.22235,-110.962875,"Zerene cesonia","10/26/2014","iNat"
"33",32.219242,-110.952906,"Papilio rumiko","11/6/2014","iNat"
"34",32.232874,-110.900387,"Abaeis nicippe","11/11/2014","iNat"
"35",32.232874,-110.900387,"Chlosyne lacinia","11/11/2014","iNat"
"36",32.245321,-110.852986,"Vanessa cardui","11/21/2014","iNat"
"37",32.245311,-110.852952,"Hylephila phyleus","11/21/2014","iNat"
"38",32.254921,-111.197544,"Danaus gilippus","11/21/2014","iNat"
"39",32.24296924,-111.1674269,"Leptotes marina","12/20/2014","iNat"
"40",32.24296924,-111.1674269,"Libytheana carinenta","12/20/2014","iNat"
"41",32.24296924,-111.1674269,"Brephidium exilis","12/20/2014","iNat"
"42",32.24296924,-111.1674269,"Agraulis vanillae","12/20/2014","iNat"
