observed_on_string,observed_on,tag_list,description,captive_cultivated,oauth_application_id,latitude,longitude,geoprivacy,taxon_geoprivacy,positioning_method,scientific_name,iconic_taxon_name,taxon_id,taxon_genus_name,taxon_species_name
12-Nov-07,11/12/2007,"LLF, iNatFirst","<em>Zerene cesonia</em>. On a <em>Bougainvillea</em> in my backyard in Tucson, Arizona, USA. 12 November 2007.",FALSE,,32.248549,-110.947344,,,,Zerene cesonia,Insecta,129362,Zerene,Zerene cesonia
23-Aug-08,8/23/2008,"LLF, iNatFirst","<em>Apyrrothrix araxes</em>.    Mount Bigelow, Santa Catalina Mountains, Pima County, Arizona, USA. 23 August 2008.",FALSE,,32.415308,-110.706529,,,,Apyrrothrix araxes,Insecta,129365,Apyrrothrix,Apyrrothrix araxes
29-Jul-07,7/29/2007,LLF,"<em>Phyciodes mylitta</em>. Mount Bigelow, Santa Catalina Mountains, Pima County, Arizona, USA.",FALSE,,32.417754,-110.709893,,,,Phyciodes mylitta,Insecta,59176,Phyciodes,Phyciodes mylitta
23-Aug-08,8/23/2008,LLF,"<em>Battus philenor</em>.    Mount Bigelow, Santa Catalina Mountains, Pima County, Arizona, USA. 23 August 2008.",FALSE,,32.415308,-110.706529,,,,Battus philenor,Insecta,49972,Battus,Battus philenor
12-Nov-07,11/12/2007,"LLF, iNatFirst","<em>Calephelis nemesis</em>. On a rosemary bush in my backyard in Tucson, Arizona, USA. 12 November 2007.",FALSE,,32.248549,-110.947344,,,,Calephelis nemesis,Insecta,129363,Calephelis,Calephelis nemesis
3-May-08,5/3/2008,,"<em>Celastrina ladon</em>. Molino Basin, Santa Catalina Mountains, Pima County, Arizona, USA. 3 May 2008.",FALSE,,32.344944,-110.666742,,,,Celastrina echo,Insecta,52484,Celastrina,Celastrina echo
12-Nov-07,11/12/2007,LLF,"<em>Brephidium exilis</em>. On a rosemary bush in my backyard, Tucson, Arizona, USA.",FALSE,,32.248549,-110.947344,,,,Brephidium exilis,Insecta,53843,Brephidium,Brephidium exilis
29-Jul-07,7/29/2007,LLF,"<em>Celastrina ladon</em> feeding on <em>Ceanothus fendleri</em>. Mount Bigelow, Santa Catalina Mountains, Pima County, USA. 29 July 2007.",FALSE,,32.414076,-110.704297,,,,Celastrina echo,Insecta,52484,Celastrina,Celastrina echo
3-Jun-08,6/3/2008,LLF,"<em>Pontia protodice</em>, University of Arizona Campus, Tucson, Arizona, USA. 3 June 2008",FALSE,,32.23332,-110.95075,,,,Pontia protodice,Insecta,59119,Pontia,Pontia protodice
26-Aug-07,8/26/2007,LLF,"<em>Hyles lineata</em>. Molino Basin, Santa Catalina Mountains, Pima County, Arizona, USA. 26 August 2007.",FALSE,,32.338562,-110.678501,,,,Hyles lineata,Insecta,49348,Hyles,Hyles lineata
23-May-08,5/23/2008,LLF,"<em>Leptotes marina</em>. Tucson, Arizona, USA. 23 May 2008.",FALSE,,32.248549,-110.947344,,,,Leptotes marina,Insecta,59152,Leptotes,Leptotes marina
11-Oct-08,10/11/2008,"LLF, iNatFirst","Molino Basin, Santa Catalina Mountains, Pima County, Arizona, USA. 11 October 2008.",FALSE,,32.34052,-110.674552,,,,Cyllopsis pyracmon henshawi,Insecta,235530,Cyllopsis,Cyllopsis pyracmon
23-Aug-08,8/23/2008,,"<em>Celastrina echo</em>. <a href=""http://en.wikipedia.org/wiki/Mud-puddling"" rel=""nofollow"">Mud-puddling</a> at Marshall Gulch, Santa Catalina Mountains, Pima County, Arizona, USA. 23 August 2008.  Here's a <a href=""http://www.flickr.com/photos/86548370@N00/4075323953/"">video of the spectacle</a>.",FALSE,,32.437794,-110.761394,,,,Celastrina echo,Insecta,52484,Celastrina,Celastrina echo
18-Oct-08,10/18/2008,,"<em>Hylephila phyleus</em>. University of Arizona Campus, Tucson, Pima County, Arizona, USA. 18 August 2008.",FALSE,,32.23372,-110.950568,,,,Hylephila phyleus,Insecta,50340,Hylephila,Hylephila phyleus
10-Nov-07,11/10/2007,LLF,"Molino Basin, Santa Catalina Mountains, Pima County, Arizona, USA. 10 November 2007.",FALSE,,32.339224,-110.686933,,,,Adelpha eulalia,Insecta,67559,Adelpha,Adelpha eulalia
9-Aug-08,8/9/2008,"LLF, iNatFirst","<em>Staphylus ceos</em>.  Molino Basin, Santa Catalina Mountains, Pima County, Arizona, USA.   9 August 2008.",FALSE,,32.341742,-110.683618,,,,Staphylus ceos,Insecta,132077,Staphylus,Staphylus ceos
9-Aug-08,8/9/2008,iNatFirst,"<em>Citheronia splendens</em> on Arizona wild cotton, <em>Gossypium thurberi</em>.  Molino Basin, Santa Catalina Mountains, Pima County, Arizona, USA.   9 August 2008.

Here's a <a href=""http://www.vimeo.com/19083211"">video</a> of another one of these caterpillars.  During monsoon season, they're quite common in this field of wild cotton.",FALSE,,32.27038632,-110.6703415,,obscured,,Citheronia splendens,Insecta,129435,Citheronia,Citheronia splendens
9-Aug-08,8/9/2008,"LLF, iNatFirst","<em>Thurberiphaga diffusa</em> on its host plant, Arizona wild cotton, <em>Gossypium thurberi</em>.   Molino Basin, Santa Catalina Mountains, Pima County, Arizona, USA.   9 August 2008.",FALSE,,32.340401,-110.685646,,,,Thurberiphaga diffusa,Insecta,132080,Thurberiphaga,Thurberiphaga diffusa
9-Aug-08,8/9/2008,LLF,"<em>Danaus gilippus</em>.  Molino Basin, Santa Catalina Mountains, Pima County, Arizona, USA.   9 August 2008.",FALSE,,32.340754,-110.685249,,,,Danaus gilippus,Insecta,51743,Danaus,Danaus gilippus
